LetterboxdURI,Title,Year,Directors,Rating,Avg Rating
https://boxd.it/1vWw,The Secret in Their Eyes,2009,Juan José Campanella,4.16,1.2
https://boxd.it/29AA,The Young and the Damned,1950,Luis Buñuel,4.16,2.0
https://boxd.it/2b9c,All About My Mother,1999,Pedro Almodóvar,4.13,7.6
https://boxd.it/7UmK,Wild Tales,2014,Damián Szifron,4.11,7.6
https://boxd.it/2bfu,Amores Perros,2000,Alejandro González Iñárritu,4.14,10.0
https://boxd.it/1nRS,The Exterminating Angel,1962,Luis Buñuel,4.15,10.4
https://boxd.it/28No,Pan's Labyrinth,2006,Guillermo del Toro,4.17,11.4
https://boxd.it/qLxM,"Argentina, 1985",2022,Santiago Mitre,3.92,12.0
https://boxd.it/28QM,Y Tu Mamá También,2001,Alfonso Cuarón,4.18,12.8
https://boxd.it/1HBA,Nine Queens,2000,Fabián Bielinsky,4.01,13.8
https://boxd.it/1hUQ,I Am Cuba,1964,Mikhail Kalatozov,4.33,14.0
https://boxd.it/2aQO,Volver,2006,Pedro Almodóvar,4.03,15.2
https://boxd.it/24eE,Viridiana,1961,Luis Buñuel,4.07,15.2
https://boxd.it/7xYc,Güeros,2014,Alonso Ruizpalacios,4.11,17.4
https://boxd.it/24GI,Women on the Verge of a Nervous Breakdown,1988,Pedro Almodóvar,4.06,18.2
https://boxd.it/AoC,Cria!,1976,Carlos Saura,4.14,18.4
https://boxd.it/baba,Embrace of the Serpent,2015,Ciro Guerra,4.17,19.0
https://boxd.it/24eY,The Spirit of the Beehive,1973,Víctor Erice,4.14,19.6
https://boxd.it/iOBQ,Pain and Glory,2019,Pedro Almodóvar,4.05,20.8
https://boxd.it/i1vE,The Wolf House,2018,Cristóbal León,4.08,21.8
https://boxd.it/JbM,El sur,1983,Víctor Erice,4.11,29.4
https://boxd.it/1nS2,The Official Story,1985,Luis Puenzo,3.92,30.0
https://boxd.it/20mu,The Holy Mountain,1973,Alejandro Jodorowsky,4.15,30.6
https://boxd.it/41Va,Macario,1960,Roberto Gavaldón,4.14,31.4
https://boxd.it/lqSu,I'm No Longer Here,2019,Luis Fernando Frías de la Parra,3.96,37.0
https://boxd.it/bZ5M,I Dream in Another Language,2017,Ernesto Contreras,4.04,38.2
https://boxd.it/1Z1U,Thesis,1996,Alejandro Amenábar,3.78,38.4
https://boxd.it/3JF4,Extraordinary Stories,2008,Mariano Llinás,4.1,42.4
https://boxd.it/f69M,Roma,2018,Alfonso Cuarón,4.11,42.6
https://boxd.it/yvm,El Infierno,2010,Luis Estrada,3.91,43.2
https://boxd.it/8JQG,Magical Girl,2014,Carlos Vermut,3.91,43.2
https://boxd.it/2EiM,Sidewalls,2011,Gustavo Taretto,3.95,43.6
https://boxd.it/Kos,Memories of Underdevelopment,1968,Tomás Gutiérrez Alea,3.87,45.0
https://boxd.it/2b2K,Bad Education,2004,Pedro Almodóvar,3.91,46.6
https://boxd.it/24eu,The Executioner,1963,Luis García Berlanga,3.94,48.0
https://boxd.it/UIM,Él,1953,Luis Buñuel,3.94,48.0
https://boxd.it/amQC,The Club,2015,Pablo Larraín,3.7,48.6
https://boxd.it/1aXe,Simon of the Desert,1965,Luis Buñuel,3.94,48.6
https://boxd.it/27TU,Open Your Eyes,1997,Alejandro Amenábar,3.84,48.8
https://boxd.it/kpk,La Ciénaga,2001,Lucrecia Martel,3.86,49.0
https://boxd.it/1SzU,Machuca,2004,Andrés Wood,3.79,51.0
https://boxd.it/Uve,Martin (Hache),1997,Adolfo Aristarain,3.9,56.0
https://boxd.it/oZhu,Prayers for the Stolen,2021,Tatiana Huezo,3.83,60.0
https://boxd.it/1cLk,Nazarin,1959,Luis Buñuel,3.91,61.0
https://boxd.it/28NS,Lovers of the Arctic Circle,1998,Julio Medem,3.79,61.4
https://boxd.it/99A,The Skin I Live In,2011,Pedro Almodóvar,3.86,62.2
https://boxd.it/3Vce,The Skeleton of Mrs. Morales,1960,Rogelio A. González,3.88,62.8
https://boxd.it/2beG,Talk to Her,2002,Pedro Almodóvar,3.9,68.0
https://boxd.it/euce,The Invisible Guest,2016,Oriol Paulo,3.87,70.4
https://boxd.it/Uvo,Time for Revenge,1981,Adolfo Aristarain,3.9,70.6
https://boxd.it/HBo,Man Facing Southeast,1986,Eliseo Subiela,3.81,71.8
https://boxd.it/1F58,Son of the Bride,2001,Juan José Campanella,3.82,76.2
https://boxd.it/2CbE,The Holy Innocents,1984,Mario Camus,3.84,84.2
https://boxd.it/1Vyg,The Day of the Beast,1995,Álex de la Iglesia,3.65,86.6
https://boxd.it/2Ivq,On Probation,2005,Damián Szifron,3.88,87.8
https://boxd.it/EI2,Silvia Prieto,1999,Martín Rejtman,3.64,102.0
https://boxd.it/OiI,Biutiful,2010,Alejandro González Iñárritu,3.81,108.0
https://boxd.it/ilA0,El Angel,2018,Luis Ortega,3.61,117.0
https://boxd.it/fyVu,Birds of Passage,2018,Ciro Guerra,3.91,147.0
https://boxd.it/1k2s,Butterfly,1999,José Luis Cuerda,3.74,147.0
https://boxd.it/eZCs,La Flor,2018,Mariano Llinás,4.02,148.8
https://boxd.it/3Thw,Canoa: A Shameful Memory,1976,Felipe Cazals,4.09,159.6
https://boxd.it/oina,Identifying Features,2020,Fernanda Valadez,3.83,164.2
https://boxd.it/31yI,Wrinkles,2011,Ignacio Ferreras,3.84,165.8
https://boxd.it/24f8,Rapture,1979,Iván Zulueta,3.79,170.0
https://boxd.it/TGA,Who Can Kill a Child?,1976,Chicho Ibáñez Serrador,3.72,172.2
https://boxd.it/vvUA,Lullaby,2022,Alauda Ruiz de Azúa,3.82,174.0
https://boxd.it/AgRG,Noise,2022,Natalia Beristáin,3.74,174.2
https://boxd.it/27S8,The Sea Inside,2004,Alejandro Amenábar,3.78,178.2
https://boxd.it/17Ty,The Criminal Life of Archibaldo de la Cruz,1955,Luis Buñuel,3.82,178.2
https://boxd.it/w0aS,The Kings of the World,2022,Laura Mora,3.73,178.8
https://boxd.it/3Ie2,No,2012,Pablo Larraín,3.78,178.8
https://boxd.it/28nU,The Motorcycle Diaries,2004,Walter Salles,3.85,180.8
https://boxd.it/lzA0,The Wolves,2019,Samuel Kishi,3.81,180.8
https://boxd.it/S12,The Holy Girl,2004,Lucrecia Martel,3.72,182.0
https://boxd.it/24Pg,Law of Desire,1987,Pedro Almodóvar,3.77,184.6
https://boxd.it/1RMS,Strawberry and Chocolate,1993,Tomás Gutiérrez Alea,3.75,184.6
https://boxd.it/2G14,The Place Without Limits,1978,Arturo Ripstein,3.83,186.0
https://boxd.it/2pjK,Death of a Cyclist,1955,Juan Antonio Bardem,3.84,190.0
https://boxd.it/1XkU,The Strategy of the Snail,1993,Sergio Cabrera,3.74,190.6
https://boxd.it/Knu,Castle of Purity,1973,Arturo Ripstein,3.85,191.4
https://boxd.it/BFO,Placido,1961,Luis García Berlanga,3.81,191.8
https://boxd.it/1i50,Welcome Mr. Marshall!,1953,Luis García Berlanga,3.83,192.6
https://boxd.it/28Li,The Devil's Backbone,2001,Guillermo del Toro,3.82,193.0
https://boxd.it/syL6,Manticore,2022,Carlos Vermut,3.71,194.2
https://boxd.it/1gMm,A Place in the World,1992,Adolfo Aristarain,3.79,195.0
https://boxd.it/2yzi,The Dark Side of the Heart,1992,Eliseo Subiela,3.7,195.8
https://boxd.it/cj8w,Birdboy: The Forgotten Children,2015,Pedro Rivero,3.76,195.8
https://boxd.it/1e8O,Duck Season,2004,Fernando Eimbcke,3.76,199.4
https://boxd.it/TCe,Death of a Bureaucrat,1966,Tomás Gutiérrez Alea,3.87,201.2
https://boxd.it/1fPa,Cell 211,2009,Daniel Monzón,3.73,204.2
https://boxd.it/2nlE,Jackal of Nahueltoro,1969,Miguel Littín,3.67,204.8
https://boxd.it/1O7i,Herod's Law,1999,Luis Estrada,3.75,205.0
https://boxd.it/1TL8,Common Wealth,2000,Álex de la Iglesia,3.66,207.6
